Name,R8.5 Cname,R9 Cname,Guid Value,Package
BootInRecoveryMode,gPeiBootInRecoveryModePpiGuid,gEfiPeiBootInRecoveryModePpiGuid,17EE496A-D8E4-4B9A-94D1-CE8272300850,MdePkg
CpuIo,gEfiPeiCpuIoPpiInServiceTableGuid,gEfiPeiCpuIoPpiInstalledGuid,E6AF1F7B-FC3F-46DA-A828-A3B457A44282,MdePkg
DxeIpl,gEfiDxeIplPpiGuid,gEfiDxeIplPpiGuid,0AE8CE5D-E448-4437-A8D7-EBF5F194F731,MdePkg
EndOfPeiSignal,gEfiEndOfPeiSignalPpiGuid,gEfiEndOfPeiSignalPpiGuid,605EA650-C65C-42E1-BA80-91A52AB618C6,MdePkg
FindFv,gEfiFindFvPpiGuid,gEfiFindFvPpiGuid,36164812-A023-44E5-BD85-05BF3C7700AA,MdePkg
FvFileLoader,gPeiFvFileLoaderPpiGuid,gEfiPeiFvFileLoaderPpiGuid,7E1F0D85-04FF-4BB2-866A-31A2996A48A8,MdePkg
MasterBootMode,gPeiMasterBootModePpiGuid,gEfiPeiMasterBootModePpiGuid,7408D748-FC8C-4EE6-9288-C4BEC092A410,MdePkg
MemoryDiscovered,gEfiPeiMemoryDiscoveredPpiGuid,gEfiPeiMemoryDiscoveredPpiGuid,F894643D-C449-42D1-8EA8-85BDD8C65BDE,MdePkg
PciCfg,gEfiPciCfgPpiInServiceTableGuid,gEfiPciCfgPpiInServiceTableGuid,E1F2EBA0-F7B9-4A26-8620-131221642A90,MdePkg
ReadOnlyVariable,gEfiPeiReadOnlyVariablePpiGuid,gEfiPeiReadOnlyVariablePpiGuid,3CDC90C6-13FB-4A75-9E79-59E9DD78B9FA,MdePkg
RecoveryModule,gPeiRecoveryModulePpiGuid,gEfiPeiRecoveryModulePpiGuid,FB6D9542-612D-4F45-872F-5CFF52E93DCF,MdePkg
Reset,gEfiPeiResetPpiGuid,gEfiPeiResetPpiGuid,EF398D58-9DFD-4103-BF94-78C6F4FE712F,MdePkg
S3Resume,gEfiPeiS3ResumePpiGuid,gEfiPeiS3ResumePpiGuid,4426CCB2-E684-4A8A-AE40-20D4B025B710,MdePkg
SecPlatformInformation,gEfiSecPlatformInformationPpiGuid,gEfiSecPlatformInformationPpiGuid,6F8C2B35-FEF4-448D-8256-E11B19D61077,MdePkg
SectionExtraction,gPeiSectionExtractionPpiGuid,gEfiPeiSectionExtractionPpiGuid,4F89E208-E144-4804-9EC8-0F894F7E36D7,MdePkg
Security,gPeiSecurityPpiGuid,gEfiPeiSecurityPpiGuid,1388066E-3A57-4EFA-98F3-C12F3A958A29,MdePkg
StatusCode,gEfiPeiStatusCodePpiGuid,gEfiPeiStatusCodePpiGuid,229832D3-7A30-4B36-B827-F40CB7D45436,MdePkg
PcdPpi,gPcdPpiGuid,gPcdPpiGuid,06E81C58-4AD7-44BC-8390-F10265F72480,MdePkg
BootScriptExecuter,gPeiBootScriptExecuterPpiGuid,gEfiPeiBootScriptExecuterPpiGuid,ABD42895-78CF-4872-8444-1B5C180BFBFF,MdePkg
Smbus,gPeiSmbusPpiGuid,gEfiPeiSmbusPpiGuid,ABD42895-78CF-4872-8444-1B5C180BFBDA,MdePkg
BlockIo,gPeiBlockIoPpiGuid,gEfiPeiBlockIoPpiGuid,695D8AA1-42EE-4C46-805C-6EA6BCE799E3,MdePkg
DeviceRecoveryModule,gPeiDeviceRecoveryModulePpiGuid,gEfiPeiDeviceRecoveryModulePpiGuid,0DE2CE25-446A-45A7-BFC9-37DA26344B37,MdePkg
Stall,gPeiStallPpiGuid,gEfiPeiStallPpiGuid,1F4C6F90-B06B-48D8-A201-BAE5F1CD7D56,MdePkg
PeiInMemory,gPeiInMemoryGuid,gPeiInMemoryGuid,643B8786-B417-48D2-8F5E-7819931CAED8,EdkModulePkg
FlashMap,gPeiFlashMapPpiGuid,gPeiFlashMapPpiGuid,F34C2FA0-DE88-4270-8414-961222F4521C,EdkModulePkg
BaseMemoryTest,gPeiBaseMemoryTestPpiGuid,gPeiBaseMemoryTestPpiGuid,B6EC423C-21D2-490D-85C6-DD5864EAA674,EdkModulePkg
StatusCodeMemory,gPeiStatusCodeMemoryPpiGuid,gPeiStatusCodeMemoryPpiGuid,26F8AB01-D3CD-489C-984F-DFDEF768395B,EdkModulePkg
